iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,trace_duration_ns,embedded_collective_adjustment_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_relative_start_ns,predicted_relative_end_ns,critical_predecessor,local_wait_ns,predicted_lane_origin_ns,predicted_start_ns,predicted_end_ns
55,rank64:F2,compute,forward,2,64,4,0,64,64,4,4,2,warmup,315835668,315835668,0,0,0,1.7854777467680292e+18,1.7854777470838648e+18,1944425313,2260260981,lane0:F2:s3->s4,143062809,1785477744809471652,1785477746753896965,1785477747069732633
55,rank48:F3,compute,forward,3,48,3,0,48,48,3,3,3,warmup,334028881,334028881,0,0,0,1.7854777467750979e+18,1.785477747109127e+18,1946361279,2280390160,lane0:F3:s2->s3,6648312,1785477744809471652,1785477746755832931,1785477747089861812
55,lane0:F1:s5->s6,pp_message,forward,1,-1,5,0,80,96,5,6,-1,p2p,4712346,0,0,4712346,0,,,2119142857,2123855203,rank80:F1,0,1785477744809471652,1785477746928614509,1785477746933326855
55,lane0:F0:s6->s7,pp_message,forward,0,-1,6,0,96,112,6,7,-1,p2p,4712346,0,0,4712346,0,,,2121773162,2126485508,rank96:F0,0,1785477744809471652,1785477746931244814,1785477746935957160
55,rank112:F0,compute,forward,0,112,7,0,112,112,7,7,0,warmup,316959816,316959816,0,0,0,1.785477746941603e+18,1.785477747258563e+18,2126485508,2443445324,lane0:F0:s6->s7,2126485508,1785477744809471652,1785477746935957160,1785477747252916976
55,rank96:F1,compute,forward,1,96,6,0,96,96,6,6,1,warmup,316836974,316836974,0,0,0,1.7854777469463022e+18,1.7854777472631393e+18,2126485508,2443322482,lane0:F0:s6->s7,4712346,1785477744809471652,1785477746935957160,1785477747252794134
55,lane0:F2:s4->s5,pp_message,forward,2,-1,4,0,64,80,4,5,-1,p2p,4712346,0,0,4712346,0,,,2260260981,2264973327,rank64:F2,0,1785477744809471652,1785477747069732633,1785477747074444979
55,rank80:F2,compute,forward,2,80,5,0,80,80,5,5,2,warmup,352583734,352583734,0,0,0,1.7854777470890634e+18,1.785477747441647e+18,2264973327,2617557061,lane0:F2:s4->s5,145830470,1785477744809471652,1785477747074444979,1785477747427028713
55,lane0:F3:s3->s4,pp_message,forward,3,-1,3,0,48,64,3,4,-1,p2p,4712346,0,0,4712346,0,,,2280390160,2285102506,rank48:F3,0,1785477744809471652,1785477747089861812,1785477747094574158
55,rank64:F3,compute,forward,3,64,4,0,64,64,4,4,3,warmup,313494294,313494294,0,0,0,1.785477747114236e+18,1.7854777474277304e+18,2285102506,2598596800,lane0:F3:s3->s4,24841525,1785477744809471652,1785477747094574158,1785477747408068452
55,lane0:F1:s6->s7,pp_message,forward,1,-1,6,0,96,112,6,7,-1,p2p,4712346,0,0,4712346,0,,,2443322482,2448034828,rank96:F1,0,1785477744809471652,1785477747252794134,1785477747257506480
55,lane0:F0:s7->s8,pp_message,forward,0,-1,7,0,112,128,7,8,-1,p2p,4712346,0,0,4712346,0,,,2443445324,2448157670,rank112:F0,0,1785477744809471652,1785477747252916976,1785477747257629322
55,rank112:F1,compute,forward,1,112,7,0,112,112,7,7,1,warmup,312190019,312190019,0,0,0,1.7854777472689334e+18,1.7854777475811236e+18,2448157670,2760347689,lane0:F0:s7->s8,4712346,1785477744809471652,1785477747257629322,1785477747569819341
55,rank128:F0,compute,forward,0,128,8,0,128,128,8,8,0,warmup,313085112,313085112,0,0,0,1.7854777472642386e+18,1.7854777475773238e+18,2448157670,2761242782,lane0:F0:s7->s8,2448157670,1785477744809471652,1785477747257629322,1785477747570714434
55,lane0:F3:s4->s5,pp_message,forward,3,-1,4,0,64,80,4,5,-1,p2p,4712346,0,0,4712346,0,,,2598596800,2603309146,rank64:F3,0,1785477744809471652,1785477747408068452,1785477747412780798
55,lane0:F2:s5->s6,pp_message,forward,2,-1,5,0,80,96,5,6,-1,p2p,4712346,0,0,4712346,0,,,2617557061,2622269407,rank80:F2,0,1785477744809471652,1785477747427028713,1785477747431741059
55,rank80:F3,compute,forward,3,80,5,0,80,80,5,5,3,warmup,312165256,312165256,0,0,0,1.7854777474521137e+18,1.7854777477642788e+18,2622269407,2934434663,lane0:F2:s5->s6,4712346,1785477744809471652,1785477747431741059,1785477747743906315
55,rank96:F2,compute,forward,2,96,6,0,96,96,6,6,2,warmup,315803544,315803544,0,0,0,1.7854777474470387e+18,1.7854777477628424e+18,2622269407,2938072951,lane0:F2:s5->s6,178946925,1785477744809471652,1785477747431741059,1785477747747544603
55,lane0:F1:s7->s8,pp_message,forward,1,-1,7,0,112,128,7,8,-1,p2p,4712346,0,0,4712346,0,,,2760347689,2765060035,rank112:F1,0,1785477744809471652,1785477747569819341,1785477747574531687
55,lane0:F0:s8->s9,pp_message,forward,0,-1,8,0,128,144,8,9,-1,p2p,4712346,0,0,4712346,0,,,2761242782,2765955128,rank128:F0,0,1785477744809471652,1785477747570714434,1785477747575426780
55,rank128:F1,compute,forward,1,128,8,0,128,128,8,8,1,warmup,310793214,310793214,0,0,0,1.785477747587731e+18,1.7854777478985242e+18,2765955128,3076748342,lane0:F0:s8->s9,4712346,1785477744809471652,1785477747575426780,1785477747886219994
55,rank144:F0,compute,forward,0,144,9,0,144,144,9,9,0,warmup,320335221,320335221,0,0,0,1.7854777475828756e+18,1.785477747903211e+18,2765955128,3086290349,lane0:F0:s8->s9,2765955128,1785477744809471652,1785477747575426780,1785477747895762001
55,lane0:F3:s5->s6,pp_message,forward,3,-1,5,0,80,96,5,6,-1,p2p,4712346,0,0,4712346,0,,,2934434663,2939147009,rank80:F3,0,1785477744809471652,1785477747743906315,1785477747748618661
55,lane0:F2:s6->s7,pp_message,forward,2,-1,6,0,96,112,6,7,-1,p2p,4712346,0,0,4712346,0,,,2938072951,2942785297,rank96:F2,0,1785477744809471652,1785477747747544603,1785477747752256949
55,rank112:F2,compute,forward,2,112,7,0,112,112,7,7,2,warmup,310993559,310993559,0,0,0,1.785477747767968e+18,1.7854777480789617e+18,2942785297,3253778856,lane0:F2:s6->s7,182437608,1785477744809471652,1785477747752256949,1785477748063250508
55,rank96:F3,compute,forward,3,96,6,0,96,96,6,6,3,warmup,315586038,315586038,0,0,0,1.7854777477731267e+18,1.7854777480887127e+18,2942785297,3258371335,lane0:F2:s6->s7,4712346,1785477744809471652,1785477747752256949,1785477748067842987
55,lane0:F1:s8->s9,pp_message,forward,1,-1,8,0,128,144,8,9,-1,p2p,4712346,0,0,4712346,0,,,3076748342,3081460688,rank128:F1,0,1785477744809471652,1785477747886219994,1785477747890932340
55,lane0:F0:s9->s10,pp_message,forward,0,-1,9,0,144,160,9,10,-1,p2p,4712346,0,0,4712346,0,,,3086290349,3091002695,rank144:F0,0,1785477744809471652,1785477747895762001,1785477747900474347
55,rank144:F1,compute,forward,1,144,9,0,144,144,9,9,1,warmup,318516907,318516907,0,0,0,1.7854777479134152e+18,1.7854777482319322e+18,3091002695,3409519602,lane0:F0:s9->s10,4712346,1785477744809471652,1785477747900474347,1785477748218991254
55,rank160:F0,compute,forward,0,160,10,0,160,160,10,10,0,warmup,320623663,320623663,0,0,0,1.785477747908641e+18,1.7854777482292646e+18,3091002695,3411626358,lane0:F0:s9->s10,3091002695,1785477744809471652,1785477747900474347,1785477748221098010
55,lane0:F2:s7->s8,pp_message,forward,2,-1,7,0,112,128,7,8,-1,p2p,4712346,0,0,4712346,0,,,3253778856,3258491202,rank112:F2,0,1785477744809471652,1785477748063250508,1785477748067962854
55,lane0:F3:s6->s7,pp_message,forward,3,-1,6,0,96,112,6,7,-1,p2p,4712346,0,0,4712346,0,,,3258371335,3263083681,rank96:F3,0,1785477744809471652,1785477748067842987,1785477748072555333
55,rank128:F2,compute,forward,2,128,8,0,128,128,8,8,2,warmup,311077784,311077784,0,0,0,1.7854777480841905e+18,1.7854777483952684e+18,3258491202,3569568986,lane0:F2:s7->s8,181742860,1785477744809471652,1785477748067962854,1785477748379040638
55,rank112:F3,compute,forward,3,112,7,0,112,112,7,7,3,warmup,340623741,340623741,0,0,0,1.7854777480938327e+18,1.7854777484344563e+18,3263083681,3603707422,lane0:F3:s6->s7,9304825,1785477744809471652,1785477748072555333,1785477748413179074
55,lane0:F1:s9->s10,pp_message,forward,1,-1,9,0,144,160,9,10,-1,p2p,4712346,0,0,4712346,0,,,3409519602,3414231948,rank144:F1,0,1785477744809471652,1785477748218991254,1785477748223703600
55,lane0:F0:s10->s11,pp_message,forward,0,-1,10,0,160,176,10,11,-1,p2p,4712346,0,0,4712346,0,,,3411626358,3416338704,rank160:F0,0,1785477744809471652,1785477748221098010,1785477748225810356
55,rank160:F1,compute,forward,1,160,10,0,160,160,10,10,1,warmup,325174307,325174307,0,0,0,1.7854777482392573e+18,1.7854777485644316e+18,3416338704,3741513011,lane0:F0:s10->s11,4712346,1785477744809471652,1785477748225810356,1785477748550984663
55,rank176:F0,compute,forward,0,176,11,0,176,176,11,11,0,warmup,311578821,311578821,0,0,0,1.785477748234844e+18,1.7854777485464225e+18,3416338704,3727917525,lane0:F0:s10->s11,3416338704,1785477744809471652,1785477748225810356,1785477748537389177
55,lane0:F2:s8->s9,pp_message,forward,2,-1,8,0,128,144,8,9,-1,p2p,4712346,0,0,4712346,0,,,3569568986,3574281332,rank128:F2,0,1785477744809471652,1785477748379040638,1785477748383752984
55,rank144:F2,compute,forward,2,144,9,0,144,144,9,9,2,warmup,318291397,318291397,0,0,0,1.7854777484003983e+18,1.7854777487186895e+18,3574281332,3892572729,lane0:F2:s8->s9,164761730,1785477744809471652,1785477748383752984,1785477748702044381
55,lane0:F3:s7->s8,pp_message,forward,3,-1,7,0,112,128,7,8,-1,p2p,4712346,0,0,4712346,0,,,3603707422,3608419768,rank112:F3,0,1785477744809471652,1785477748413179074,1785477748417891420
55,rank128:F3,compute,forward,3,128,8,0,128,128,8,8,3,warmup,310994744,310994744,0,0,0,1.7854777484396132e+18,1.785477748750608e+18,3608419768,3919414512,lane0:F3:s7->s8,38850782,1785477744809471652,1785477748417891420,1785477748728886164
55,lane0:F0:s11->s12,pp_message,forward,0,-1,11,0,176,192,11,12,-1,p2p,4712346,0,0,4712346,0,,,3727917525,3732629871,rank176:F0,0,1785477744809471652,1785477748537389177,1785477748542101523
55,rank192:F0,compute,forward,0,192,12,0,192,192,12,12,0,warmup,313173038,313173038,0,0,0,1.785477748551826e+18,1.785477748864999e+18,3732629871,4045802909,lane0:F0:s11->s12,3732629871,1785477744809471652,1785477748542101523,1785477748855274561
55,lane0:F1:s10->s11,pp_message,forward,1,-1,10,0,160,176,10,11,-1,p2p,4712346,0,0,4712346,0,,,3741513011,3746225357,rank160:F1,0,1785477744809471652,1785477748550984663,1785477748555697009
55,rank176:F1,compute,forward,1,176,11,0,176,176,11,11,1,warmup,315929963,315929963,0,0,0,1.7854777485695043e+18,1.7854777488854344e+18,3746225357,4062155320,lane0:F1:s10->s11,18307832,1785477744809471652,1785477748555697009,1785477748871626972
55,lane0:F2:s9->s10,pp_message,forward,2,-1,9,0,144,160,9,10,-1,p2p,4712346,0,0,4712346,0,,,3892572729,3897285075,rank144:F2,0,1785477744809471652,1785477748702044381,1785477748706756727
55,rank160:F2,compute,forward,2,160,10,0,160,160,10,10,2,warmup,334048899,334048899,0,0,0,1.785477748724015e+18,1.7854777490580641e+18,3897285075,4231333974,lane0:F2:s9->s10,155772064,1785477744809471652,1785477748706756727,1785477749040805626
55,lane0:F3:s8->s9,pp_message,forward,3,-1,8,0,128,144,8,9,-1,p2p,4712346,0,0,4712346,0,,,3919414512,3924126858,rank128:F3,0,1785477744809471652,1785477748728886164,1785477748733598510
55,rank144:F3,compute,forward,3,144,9,0,144,144,9,9,3,warmup,318916553,318916553,0,0,0,1.7854777487556908e+18,1.7854777490746074e+18,3924126858,4243043411,lane0:F3:s8->s9,31554129,1785477744809471652,1785477748733598510,1785477749052515063
55,lane0:F0:s12->s13,pp_message,forward,0,-1,12,0,192,208,12,13,-1,p2p,4712346,0,0,4712346,0,,,4045802909,4050515255,rank192:F0,0,1785477744809471652,1785477748855274561,1785477748859986907
55,rank208:F0,compute,forward,0,208,13,0,208,208,13,13,0,warmup,315061449,315061449,0,0,0,1.7854777488711788e+18,1.7854777491862403e+18,4050515255,4365576704,lane0:F0:s12->s13,4050515255,1785477744809471652,1785477748859986907,1785477749175048356
55,lane0:F1:s11->s12,pp_message,forward,1,-1,11,0,176,192,11,12,-1,p2p,4712346,0,0,4712346,0,,,4062155320,4066867666,rank176:F1,0,1785477744809471652,1785477748871626972,1785477748876339318
55,rank192:F1,compute,forward,1,192,12,0,192,192,12,12,1,warmup,307627107,307627107,0,0,0,1.7854777488905708e+18,1.7854777491981978e+18,4066867666,4374494773,lane0:F1:s11->s12,21064757,1785477744809471652,1785477748876339318,1785477749183966425
55,lane0:F2:s10->s11,pp_message,forward,2,-1,10,0,160,176,10,11,-1,p2p,4712346,0,0,4712346,0,,,4231333974,4236046320,rank160:F2,0,1785477744809471652,1785477749040805626,1785477749045517972
55,rank176:F2,compute,forward,2,176,11,0,176,176,11,11,2,warmup,309205567,309205567,0,0,0,1.7854777490631818e+18,1.7854777493723873e+18,4236046320,4545251887,lane0:F2:s10->s11,173891000,1785477744809471652,1785477749045517972,1785477749354723539
55,lane0:F3:s9->s10,pp_message,forward,3,-1,9,0,144,160,9,10,-1,p2p,4712346,0,0,4712346,0,,,4243043411,4247755757,rank144:F3,0,1785477744809471652,1785477749052515063,1785477749057227409
55,rank160:F3,compute,forward,3,160,10,0,160,160,10,10,3,warmup,310896776,310896776,0,0,0,1.7854777490796652e+18,1.785477749390562e+18,4247755757,4558652533,lane0:F3:s9->s10,16421783,1785477744809471652,1785477749057227409,1785477749368124185
55,lane0:F0:s13->s14,pp_message,forward,0,-1,13,0,208,224,13,14,-1,p2p,4712346,0,0,4712346,0,,,4365576704,4370289050,rank208:F0,0,1785477744809471652,1785477749175048356,1785477749179760702
55,rank224:F0,compute,forward,0,224,14,0,224,224,14,14,0,warmup,315259120,315259120,0,0,0,1.7854777491932024e+18,1.7854777495084616e+18,4370289050,4685548170,lane0:F0:s13->s14,4370289050,1785477744809471652,1785477749179760702,1785477749495019822
55,lane0:F1:s12->s13,pp_message,forward,1,-1,12,0,192,208,12,13,-1,p2p,4712346,0,0,4712346,0,,,4374494773,4379207119,rank192:F1,0,1785477744809471652,1785477749183966425,1785477749188678771
55,rank208:F1,compute,forward,1,208,13,0,208,208,13,13,1,warmup,309526453,309526453,0,0,0,1.785477749203342e+18,1.7854777495128686e+18,4379207119,4688733572,lane0:F1:s12->s13,13630415,1785477744809471652,1785477749188678771,1785477749498205224
55,lane0:F2:s11->s12,pp_message,forward,2,-1,11,0,176,192,11,12,-1,p2p,4712346,0,0,4712346,0,,,4545251887,4549964233,rank176:F2,0,1785477744809471652,1785477749354723539,1785477749359435885
55,rank192:F2,compute,forward,2,192,12,0,192,192,12,12,2,warmup,312698428,312698428,0,0,0,1.78547774937747e+18,1.7854777496901683e+18,4549964233,4862662661,lane0:F2:s11->s12,175469460,1785477744809471652,1785477749359435885,1785477749672134313
55,lane0:F3:s10->s11,pp_message,forward,3,-1,10,0,160,176,10,11,-1,p2p,4712346,0,0,4712346,0,,,4558652533,4563364879,rank160:F3,0,1785477744809471652,1785477749368124185,1785477749372836531
55,rank176:F3,compute,forward,3,176,11,0,176,176,11,11,3,warmup,306906761,306906761,0,0,0,1.7854777493956137e+18,1.7854777497025203e+18,4563364879,4870271640,lane0:F3:s10->s11,18112992,1785477744809471652,1785477749372836531,1785477749679743292
55,lane0:F0:s14->s15,pp_message,forward,0,-1,14,0,224,240,14,15,-1,p2p,4712346,0,0,4712346,0,,,4685548170,4690260516,rank224:F0,0,1785477744809471652,1785477749495019822,1785477749499732168
55,lane0:F1:s13->s14,pp_message,forward,1,-1,13,0,208,224,13,14,-1,p2p,4712346,0,0,4712346,0,,,4688733572,4693445918,rank208:F1,0,1785477744809471652,1785477749498205224,1785477749502917570
55,rank240:F0,compute,forward,0,240,15,0,240,240,15,15,0,steady,194664375,194664375,0,0,0,1.7854777495144558e+18,1.7854777497091203e+18,4690260516,4884924891,lane0:F0:s14->s15,4690260516,1785477744809471652,1785477749499732168,1785477749694396543
55,rank224:F1,compute,forward,1,224,14,0,224,224,14,14,1,steady,308420072,308420072,0,0,0,1.7854777495192878e+18,1.785477749827708e+18,4693445918,5001865990,lane0:F1:s13->s14,7897748,1785477744809471652,1785477749502917570,1785477749811337642
55,lane0:F2:s12->s13,pp_message,forward,2,-1,12,0,192,208,12,13,-1,p2p,4712346,0,0,4712346,0,,,4862662661,4867375007,rank192:F2,0,1785477744809471652,1785477749672134313,1785477749676846659
55,rank208:F2,compute,forward,2,208,13,0,208,208,13,13,2,steady,311080135,311080135,0,0,0,1.785477749695352e+18,1.7854777500064323e+18,4867375007,5178455142,lane0:F2:s12->s13,178641435,1785477744809471652,1785477749676846659,1785477749987926794
55,lane0:F3:s11->s12,pp_message,forward,3,-1,11,0,176,192,11,12,-1,p2p,4712346,0,0,4712346,0,,,4870271640,4874983986,rank176:F3,0,1785477744809471652,1785477749679743292,1785477749684455638
55,rank192:F3,compute,forward,3,192,12,0,192,192,12,12,3,steady,309775972,309775972,0,0,0,1.7854777497074657e+18,1.7854777500172416e+18,4874983986,5184759958,lane0:F3:s11->s12,12321325,1785477744809471652,1785477749684455638,1785477749994231610
55,rank240:B0,compute,backward,0,240,15,0,240,240,15,15,1,steady,367732634,367732634,0,0,0,1.7854777497092882e+18,1.785477750077021e+18,4884924891,5252657525,rank240:F0,0,1785477744809471652,1785477749694396543,1785477750062129177
55,lane0:F1:s14->s15,pp_message,forward,1,-1,14,0,224,240,14,15,-1,p2p,4712346,0,0,4712346,0,,,5001865990,5006578336,rank224:F1,0,1785477744809471652,1785477749811337642,1785477749816049988
55,lane0:F2:s13->s14,pp_message,forward,2,-1,13,0,208,224,13,14,-1,p2p,4712346,0,0,4712346,0,,,5178455142,5183167488,rank208:F2,0,1785477744809471652,1785477749987926794,1785477749992639140
55,lane0:F3:s12->s13,pp_message,forward,3,-1,12,0,192,208,12,13,-1,p2p,4712346,0,0,4712346,0,,,5184759958,5189472304,rank192:F3,0,1785477744809471652,1785477749994231610,1785477749998943956
55,lane0:B0:s15->s14,pp_message,backward,0,-1,15,0,240,224,15,14,-1,p2p,98176190,0,0,4712346,93463844,,,5252657525,5350833715,rank240:B0,0,1785477744809471652,1785477750062129177,1785477750160305367
55,rank224:B0,compute,backward,0,224,14,0,224,224,14,14,2,steady,707582549,707582549,0,0,0,1.7854777501771254e+18,1.785477750884708e+18,5350833715,6058416264,lane0:B0:s15->s14,348967725,1785477744809471652,1785477750160305367,1785477750867887916
55,rank240:F1,compute,forward,1,240,15,0,240,240,15,15,2,steady,193299884,193299884,0,0,0,1.785477750176921e+18,1.785477750370221e+18,5350833715,5544133599,lane0:B0:s15->s14,98176190,1785477744809471652,1785477750160305367,1785477750353605251
55,rank240:B1,compute,backward,1,240,15,0,240,240,15,15,3,steady,365702619,365702619,0,0,0,1.7854777503704082e+18,1.7854777507361108e+18,5544133599,5909836218,rank240:F1,0,1785477744809471652,1785477750353605251,1785477750719307870
55,lane0:B1:s15->s14,pp_message,backward,1,-1,15,0,240,224,15,14,-1,p2p,98176190,0,0,4712346,93463844,,,5909836218,6008012408,rank240:B1,0,1785477744809471652,1785477750719307870,1785477750817484060
55,lane0:B0:s14->s13,pp_message,backward,0,-1,14,0,224,208,14,13,-1,p2p,98176190,0,0,4712346,93463844,,,6058416264,6156592454,rank224:B0,0,1785477744809471652,1785477750867887916,1785477750966064106
55,rank208:B0,compute,backward,0,208,13,0,208,208,13,13,3,steady,689479242,689479242,0,0,0,1.7854777509836362e+18,1.7854777516731154e+18,6156592454,6846071696,lane0:B0:s14->s13,978137312,1785477744809471652,1785477750966064106,1785477751655543348
55,rank224:F2,compute,forward,2,224,14,0,224,224,14,14,3,steady,309813534,309813534,0,0,0,1.7854777509832566e+18,1.78547775129307e+18,6156592454,6466405988,lane0:B0:s14->s13,98176190,1785477744809471652,1785477750966064106,1785477751275877640
55,lane0:F2:s14->s15,pp_message,forward,2,-1,14,0,224,240,14,15,-1,p2p,4712346,0,0,4712346,0,,,6466405988,6471118334,rank224:F2,0,1785477744809471652,1785477751275877640,1785477751280589986
55,rank224:B1,compute,backward,1,224,14,0,224,224,14,14,4,steady,678850166,678850166,0,0,0,1.7854777512989842e+18,1.7854777519778342e+18,6471118334,7149968500,lane0:F2:s14->s15,4712346,1785477744809471652,1785477751280589986,1785477751959440152
55,rank240:F2,compute,forward,2,240,15,0,240,240,15,15,4,steady,190709364,190709364,0,0,0,1.785477751298909e+18,1.7854777514896182e+18,6471118334,6661827698,lane0:F2:s14->s15,561282116,1785477744809471652,1785477751280589986,1785477751471299350
55,rank240:B2,compute,backward,2,240,15,0,240,240,15,15,5,steady,365911231,365911231,0,0,0,1.785477751489801e+18,1.7854777518557123e+18,6661827698,7027738929,rank240:F2,0,1785477744809471652,1785477751471299350,1785477751837210581
55,lane0:B0:s13->s12,pp_message,backward,0,-1,13,0,208,192,13,12,-1,p2p,98176190,0,0,4712346,93463844,,,6846071696,6944247886,rank208:B0,0,1785477744809471652,1785477751655543348,1785477751753719538
55,rank192:B0,compute,backward,0,192,12,0,192,192,12,12,4,steady,680485782,680485782,0,0,0,1.7854777517711478e+18,1.7854777524516337e+18,6944247886,7624733668,lane0:B0:s13->s12,1759487928,1785477744809471652,1785477751753719538,1785477752434205320
55,rank208:F3,compute,forward,3,208,13,0,208,208,13,13,4,steady,313348583,313348583,0,0,0,1.785477751770989e+18,1.7854777520843377e+18,6944247886,7257596469,lane0:B0:s13->s12,98176190,1785477744809471652,1785477751753719538,1785477752067068121
55,lane0:B2:s15->s14,pp_message,backward,2,-1,15,0,240,224,15,14,-1,p2p,98176190,0,0,4712346,93463844,,,7027738929,7125915119,rank240:B2,0,1785477744809471652,1785477751837210581,1785477751935386771
55,lane0:B1:s14->s13,pp_message,backward,1,-1,14,0,224,208,14,13,-1,p2p,98176190,0,0,4712346,93463844,,,7149968500,7248144690,rank224:B1,0,1785477744809471652,1785477751959440152,1785477752057616342
55,lane0:F3:s13->s14,pp_message,forward,3,-1,13,0,208,224,13,14,-1,p2p,4712346,0,0,4712346,0,,,7257596469,7262308815,rank208:F3,0,1785477744809471652,1785477752067068121,1785477752071780467
55,rank208:B1,compute,backward,1,208,13,0,208,208,13,13,5,steady,685879125,685879125,0,0,0,1.7854777520901998e+18,1.7854777527760788e+18,7262308815,7948187940,lane0:F3:s13->s14,4712346,1785477744809471652,1785477752071780467,1785477752757659592
55,rank224:F3,compute,forward,3,224,14,0,224,224,14,14,5,steady,308769104,308769104,0,0,0,1.7854777520901778e+18,1.7854777523989468e+18,7262308815,7571077919,lane0:F3:s13->s14,112340315,1785477744809471652,1785477752071780467,1785477752380549571
55,lane0:F3:s14->s15,pp_message,forward,3,-1,14,0,224,240,14,15,-1,p2p,4712346,0,0,4712346,0,,,7571077919,7575790265,rank224:F3,0,1785477744809471652,1785477752380549571,1785477752385261917
55,rank224:B2,compute,backward,2,224,14,0,224,224,14,14,6,steady,686633255,686633255,0,0,0,1.7854777524050296e+18,1.7854777530916628e+18,7575790265,8262423520,lane0:F3:s14->s15,4712346,1785477744809471652,1785477752385261917,1785477753071895172
55,rank240:F3,compute,forward,3,240,15,0,240,240,15,15,6,steady,189636237,189636237,0,0,0,1.7854777524050386e+18,1.7854777525946747e+18,7575790265,7765426502,lane0:F3:s14->s15,548051336,1785477744809471652,1785477752385261917,1785477752574898154
55,lane0:B0:s12->s11,pp_message,backward,0,-1,12,0,192,176,12,11,-1,p2p,98176190,0,0,4712346,93463844,,,7624733668,7722909858,rank192:B0,0,1785477744809471652,1785477752434205320,1785477752532381510
55,rank176:B0,compute,backward,0,176,11,0,176,176,11,11,4,cooldown,675074046,675074046,0,0,0,1.7854777525512535e+18,1.7854777532263276e+18,7722909858,8397983904,lane0:B0:s12->s11,2852638218,1785477744809471652,1785477752532381510,1785477753207455556
55,rank240:B3,compute,backward,3,240,15,0,240,240,15,15,7,steady,370214684,370214684,0,0,0,1.7854777525948498e+18,1.7854777529650644e+18,7765426502,8135641186,rank240:F3,0,1785477744809471652,1785477752574898154,1785477752945112838
55,lane0:B1:s13->s12,pp_message,backward,1,-1,13,0,208,192,13,12,-1,p2p,98176190,0,0,4712346,93463844,,,7948187940,8046364130,rank208:B1,0,1785477744809471652,1785477752757659592,1785477752855835782
55,rank192:B1,compute,backward,1,192,12,0,192,192,12,12,5,cooldown,679405117,679405117,0,0,0,1.785477752873825e+18,1.78547775355323e+18,8046364130,8725769247,lane0:B1:s13->s12,421630462,1785477744809471652,1785477752855835782,1785477753535240899
55,lane0:B3:s15->s14,pp_message,backward,3,-1,15,0,240,224,15,14,-1,p2p,98176190,0,0,4712346,93463844,,,8135641186,8233817376,rank240:B3,0,1785477744809471652,1785477752945112838,1785477753043289028
55,lane0:B2:s14->s13,pp_message,backward,2,-1,14,0,224,208,14,13,-1,p2p,98176190,0,0,4712346,93463844,,,8262423520,8360599710,rank224:B2,0,1785477744809471652,1785477753071895172,1785477753170071362
55,rank208:B2,compute,backward,2,208,13,0,208,208,13,13,6,cooldown,690962929,690962929,0,0,0,1.7854777531905823e+18,1.7854777538815452e+18,8360599710,9051562639,lane0:B2:s14->s13,412411770,1785477744809471652,1785477753170071362,1785477753861034291
55,rank224:B3,compute,backward,3,224,14,0,224,224,14,14,7,cooldown,685425447,685425447,0,0,0,1.7854777531965614e+18,1.7854777538819868e+18,8360599710,9046025157,lane0:B2:s14->s13,98176190,1785477744809471652,1785477753170071362,1785477753855496809
55,lane0:B0:s11->s10,pp_message,backward,0,-1,11,0,176,160,11,10,-1,p2p,98176190,0,0,4712346,93463844,,,8397983904,8496160094,rank176:B0,0,1785477744809471652,1785477753207455556,1785477753305631746
55,rank160:B0,compute,backward,0,160,10,0,160,160,10,10,4,cooldown,684778882,684778882,0,0,0,1.7854777533251456e+18,1.7854777540099246e+18,8496160094,9180938976,lane0:B0:s11->s10,3937507561,1785477744809471652,1785477753305631746,1785477753990410628
55,lane0:B1:s12->s11,pp_message,backward,1,-1,12,0,192,176,12,11,-1,p2p,98176190,0,0,4712346,93463844,,,8725769247,8823945437,rank192:B1,0,1785477744809471652,1785477753535240899,1785477753633417089
55,rank176:B1,compute,backward,1,176,11,0,176,176,11,11,5,cooldown,685904004,685904004,0,0,0,1.7854777536531738e+18,1.785477754339078e+18,8823945437,9509849441,lane0:B1:s12->s11,425961533,1785477744809471652,1785477753633417089,1785477754319321093
55,lane0:B3:s14->s13,pp_message,backward,3,-1,14,0,224,208,14,13,-1,p2p,98176190,0,0,4712346,93463844,,,9046025157,9144201347,rank224:B3,0,1785477744809471652,1785477753855496809,1785477753953672999
55,lane0:B2:s13->s12,pp_message,backward,2,-1,13,0,208,192,13,12,-1,p2p,98176190,0,0,4712346,93463844,,,9051562639,9149738829,rank208:B2,0,1785477744809471652,1785477753861034291,1785477753959210481
55,rank192:B2,compute,backward,2,192,12,0,192,192,12,12,6,cooldown,680636390,680636390,0,0,0,1.7854777539797135e+18,1.78547775466035e+18,9149738829,9830375219,lane0:B2:s13->s12,423969582,1785477744809471652,1785477753959210481,1785477754639846871
55,rank208:B3,compute,backward,3,208,13,0,208,208,13,13,7,cooldown,681167081,681167081,0,0,0,1.7854777539849083e+18,1.7854777546660754e+18,9149738829,9830905910,lane0:B2:s13->s12,98176190,1785477744809471652,1785477753959210481,1785477754640377562
